#  r W0 W2 w4
2.557731972360356654e+00 7.010946078785582830e-11 -3.816360260585088968e-15 9.753648447895377995e-15
2.560266514527523629e+00 7.011046248468770703e-11 9.060061121738854281e-15 -9.738958945426037134e-15
2.562803568257304043e+00 7.010944081871067465e-11 -3.789543364178681244e-15 9.728671035726766691e-15
2.565343136038488847e+00 7.011042859825418298e-11 9.054097875632650401e-15 -9.713995802268207463e-15
2.567885220362336796e+00 7.010942070621939892e-11 -3.762726633015105387e-15 9.703757121506812145e-15
2.570429823722578444e+00 7.011039464155496170e-11 9.048217241185076388e-15 -9.689095987894091181e-15
2.572976948615401493e+00 7.010940045007948566e-11 -3.735909728595370490e-15 9.678906495818589889e-15
2.575526597539481877e+00 7.011036061387004707e-11 9.042419325097081206e-15 -9.664259274508142772e-15
2.578078772995965995e+00 7.010938005010518110e-11 -3.709092416414846534e-15 9.654119038760227929e-15
2.580633477488480043e+00 7.011032651474172389e-11 9.036704160046866556e-15 -9.639485518084871328e-15
2.583190713523130011e+00 7.010935950594357641e-11 -3.682274371770601240e-15 9.629394602069146682e-15
2.585750483608506567e+00 7.011029234355742613e-11 9.031071827167858306e-15 -9.614774501793292071e-15
2.588312790255684170e+00 7.010933881735935162e-11 -3.655455413257114854e-15 9.604733009579976954e-15
2.590877635978226845e+00 7.011025809969055155e-11 9.025522377004892697e-15 -9.590126137290735516e-15
2.593445023292190399e+00 7.010931798408071327e-11 -3.628635203396292132e-15 9.580134148314760958e-15
2.596014954716121537e+00 7.011022378258139614e-11 9.020055865454727074e-15 -9.565540203425428493e-15
2.598587432771064964e+00 7.010929700579396604e-11 -3.601813536952863235e-15 9.555597798894206048e-15
2.601162459980562058e+00 7.011018939169799231e-11 9.014672365591598128e-15 -9.541016634854778978e-15
2.603740038870654860e+00 7.010927588226885646e-11 -3.574990088006382162e-15 9.531123792693135886e-15
2.606320171969889632e+00 7.011015492637187472e-11 9.009371964783514029e-15 -9.516555217883860346e-15
2.608902861809317741e+00 7.010925461317740741e-11 -3.548164594832380483e-15 9.506712029171985406e-15
2.611488110922497885e+00 7.011012038604585967e-11 9.004154696669019967e-15 -9.492155814731492226e-15
2.614075921845500972e+00 7.010923319828099021e-11 -3.521336819609165889e-15 9.482362344695940756e-15
2.616666297116909234e+00 7.011008577015038161e-11 8.999020676137493168e-15 -9.467818176625725988e-15
2.619259239277821560e+00 7.010921163728299599e-11 -3.494506481809864151e-15 9.458074628533090497e-15
2.621854750871855266e+00 7.011005107805229842e-11 8.993969924191776210e-15 -9.443542340335923782e-15
2.624452834445146099e+00 7.010918992986475341e-11 -3.467673294703859643e-15 9.433848543845949659e-15
2.627053492546361113e+00 7.011001630921280532e-11 8.989002489921993759e-15 -9.419327965167285383e-15
2.629656727726674692e+00 7.010916807576009127e-11 -3.440837011017217858e-15 9.409684199103861432e-15
2.632262542539806738e+00 7.010998146305516354e-11 8.984118558689582128e-15 -9.395174972182873450e-15
2.634870939542000912e+00 7.010914607469252444e-11 -3.413997330808837966e-15 9.385581243330190835e-15
2.637481921292034848e+00 7.010994653888208570e-11 8.979318120818206215e-15 -9.371083204763078477e-15
2.640095490351221930e+00 7.010912392630513742e-11 -3.387153988170193642e-15 9.361539600452783614e-15
2.642711649283413067e+00 7.010991153619553150e-11 8.974601222313385198e-15 -9.347052559404939964e-15
2.645330400655000691e+00 7.010910163035340785e-11 -3.360306800482588964e-15 9.337559055846063959e-15
2.647951747034919201e+00 7.010987645435160546e-11 8.969967915294146188e-15 -9.323082798264733510e-15
2.650575690994648959e+00 7.010907918654344107e-11 -3.333455381670572690e-15 9.313639639292292055e-15
2.653202235108218954e+00 7.010984129279873322e-11 8.965418441676651212e-15 -9.299173732272862210e-15
2.655831381952208581e+00 7.010905659450437579e-11 -3.306599450842818034e-15 9.289780978802899511e-15
2.658463134105751191e+00 7.010980605089317438e-11 8.960952721921554033e-15 -9.275325388582260788e-15
2.661097494150533649e+00 7.010903385403024407e-11 -3.279738827516651805e-15 9.265982962368954233e-15
2.663734464670803881e+00 7.010977072807712487e-11 8.956570850585701766e-15 -9.251537483706552213e-15
2.666374048253368212e+00 7.010901096472339173e-11 -3.252873217462251185e-15 9.242245560992743448e-15
2.669016247487598914e+00 7.010973532367937932e-11 8.952272958948164503e-15 -9.227809799425903709e-15
2.671661064965431986e+00 7.010898792633437212e-11 -3.226002259095096421e-15 9.218568572412855413e-15
2.674308503281372040e+00 7.010969983720129000e-11 8.948059126746234192e-15 -9.204142357780748180e-15
2.676958565032496296e+00 7.010896473853920187e-11 -3.199125758355586660e-15 9.194951774849460616e-15
2.679611252818453693e+00 7.010966426792353288e-11 8.943929369459120954e-15 -9.180534833981781754e-15
2.682266569241470222e+00 7.010894140096240560e-11 -3.172243461449644148e-15 9.171395103249319635e-15
2.684924516906350700e+00 7.010962861538756556e-11 8.939883766708808940e-15 -9.156987218524514789e-15
2.687585098420484986e+00 7.010891791339024760e-11 -3.145355015000041815e-15 9.147898317874424263e-15
2.690248316393832440e+00 7.010959287881640696e-11 8.935922537529776539e-15 -9.133499338656255054e-15
2.692914173438954339e+00 7.010889427541632368e-11 -3.118460157855772880e-15 9.124461358479943642e-15
2.695582672170994343e+00 7.010955705775576690e-11 8.932045612393103096e-15 -9.110070932413900142e-15
2.698253815207689144e+00 7.010887048676927984e-11 -3.091558714279186556e-15 9.101084042596864653e-15
2.700927605169368473e+00 7.010952115148816960e-11 8.928253073492809568e-15 -9.086701981976421141e-15
2.703604044678958207e+00 7.010884654708051664e-11 -3.064650311651194102e-15 9.077766236093252230e-15
2.706283136361984365e+00 7.010948515948323718e-11 8.924545118158885744e-15 -9.063392242442814615e-15
2.708964882846574884e+00 7.010882245611552837e-11 -3.037734665477777658e-15 9.054507743321157357e-15
2.711649286763460953e+00 7.010944908110909413e-11 8.920921749784690962e-15 -9.040141629528879556e-15
2.714336350745981008e+00 7.010879821342118808e-11 -3.010811548524937615e-15 9.031308486529543606e-15
2.717026077430083397e+00 7.010941291572192251e-11 8.917383085321779515e-15 -9.016949924066979431e-15
2.719718469454328158e+00 7.010877381872952803e-11 -2.983880665954056032e-15 9.008168276575866525e-15
2.722413529459889237e+00 7.010937666268512930e-11 8.913929183308428425e-15 -8.993817066573202832e-15
2.725111260090559817e+00 7.010874927173450431e-11 -2.956941701500979422e-15 8.985086921153192362e-15
2.727811663992750990e+00 7.010934032147848252e-11 8.910560171018239715e-15 -8.970742870921046165e-15
2.730514743815496637e+00 7.010872457205664782e-11 -2.929994424939409665e-15 8.962064381719485961e-15
2.733220502210456093e+00 7.010930389141615896e-11 8.907276106573579270e-15 -8.947727124644091671e-15
2.735928941831916816e+00 7.010869971940819017e-11 -2.903038540034009570e-15 8.939100461695330284e-15
2.738640065336795271e+00 7.010926737191157124e-11 8.904077081073099967e-15 -8.924769825724002437e-15
2.741353875384641370e+00 7.010867471335842877e-11 -2.876073793482586526e-15 8.916194895124516310e-15
2.744070374637639809e+00 7.010923076231463296e-11 8.900963197871224529e-15 -8.901870704217477101e-15
2.746789565760621166e+00 7.010864955366514187e-11 -2.849099848371696149e-15 8.893347774986778344e-15
2.749511451421036146e+00 7.010919406205327116e-11 8.897934565814748732e-15 -8.879029583877210638e-15
2.752236034288999544e+00 7.010862423987693441e-11 -2.822116422433754662e-15 8.870558802840732039e-15
2.754963317037263604e+00 7.010915727046053272e-11 8.894991253436877220e-15 -8.856246451333916596e-15
2.757693302341230002e+00 7.010859877173807835e-11 -2.795123342936917059e-15 8.847827822944011190e-15
2.760425992878951629e+00 7.010912038696758878e-11 8.892133326294832135e-15 -8.833521065291080030e-15
2.763161391331134809e+00 7.010857314885527515e-11 -2.768120215432438623e-15 8.825154751730477004e-15
2.765899500381143739e+00 7.010908341084878224e-11 8.889360912421629808e-15 -8.810853350938383347e-15
2.768640322714999602e+00 7.010854737088824338e-11 -2.741106797180498582e-15 8.802539387316785638e-15
2.771383861021385453e+00 7.010904634159268281e-11 8.886674139025795972e-15 -8.788243051273138314e-15
2.774130117991650657e+00 7.010852143746130089e-11 -2.714082767877487704e-15 8.779981668928111609e-15
2.776879096319809115e+00 7.010900917853352644e-11 8.884073053238456499e-15 -8.765690142979260835e-15
2.779630798702545924e+00 7.010849534826207065e-11 -2.687047912632110270e-15 8.757481356445191815e-15
2.782385227839218267e+00 7.010897192102787001e-11 8.881557756849236997e-15 -8.743194417795987294e-15
2.785142386431856742e+00 7.010846910285776920e-11 -2.660001923480568189e-15 8.735038409048267253e-15
2.787902277185172029e+00 7.010893456845053299e-11 8.879128361760803685e-15 -8.720755732940399459e-15
2.790664902806552217e+00 7.010844270092498184e-11 -2.632944475709888559e-15 8.712652583043337427e-15
2.793430266006069917e+00 7.010889712017351728e-11 8.876784952910646422e-15 -8.698373929418293435e-15
2.796198369496483593e+00 7.010841614214800991e-11 -2.605875324826387598e-15 8.690323844049171428e-15
2.798969215993238002e+00 7.010885957553659057e-11 8.874527675575768165e-15 -8.676048897828048638e-15
2.801742808214470415e+00 7.010838942605944467e-11 -2.578794144851812365e-15 8.668051907451109715e-15
2.804519148881011503e+00 7.010882193399245658e-11 8.872356611048158981e-15 -8.653780524779115673e-15
2.807298240716392446e+00 7.010836255237270682e-11 -2.551700700255756891e-15 8.645836760506639488e-15
2.810080086446828052e+00 7.010878419480679863e-11 8.870271816006212731e-15 -8.631568541943567319e-15
2.812864688801250068e+00 7.010833552063998145e-11 -2.524594677312559366e-15 8.623678228415846669e-15
2.815652050511289861e+00 7.010874635740170182e-11 8.868273440431419557e-15 -8.609412970427321874e-15
2.818442174311284631e+00 7.010830833057589124e-11 -2.497475800899581945e-15 8.601576130662068418e-15
2.821235062938281857e+00 7.010870842110621928e-11 8.866361569309066399e-15 -8.587313525438219785e-15
2.824030719132041511e+00 7.010828098174572694e-11 -2.470343751163907802e-15 8.579530379598874419e-15
2.826829145635038287e+00 7.010867038530712583e-11 8.864536318962840535e-15 -8.565270199158993424e-15
2.829630345192463814e+00 7.010825347374332995e-11 -2.443198318656335831e-15 8.557540733718330272e-15
2.832434320552229767e+00 7.010863224934588230e-11 8.862797752418197075e-15 -8.543282714884408763e-15
2.835241074464972755e+00 7.010822580626445288e-11 -2.416039093558883926e-15 8.535607194011472466e-15
2.838050609684053427e+00 7.010859401261233959e-11 8.861146111835278527e-15 -8.521351032090499664e-15
2.840862928965560918e+00 7.010819797885576200e-11 -2.388865854611512096e-15 8.513729524050095986e-15
2.843678035068315957e+00 7.010855567440173983e-11 8.859581330291708974e-15 -8.499474953007923412e-15
2.846495930753873527e+00 7.010816999113185576e-11 -2.361678370221643534e-15 8.491907656817161604e-15
2.849316618786524202e+00 7.010851723410362372e-11 8.858103616916567004e-15 -8.477654342543473748e-15
2.852140101933297700e+00 7.010814184275375813e-11 -2.334476256861498256e-15 8.470141394160989392e-15
2.854966382963966876e+00 7.010847869107863235e-11 8.856713071246466240e-15 -8.455889055883086003e-15
2.857795464651047279e+00 7.010811353329101208e-11 -2.307259233515378454e-15 8.448430674441914612e-15
2.860627349769804262e+00 7.010844004469809552e-11 8.855409815665743477e-15 -8.434179013494761389e-15
2.863462041098251643e+00 7.010808506232184596e-11 -2.280027032016774808e-15 8.426775145893964908e-15
2.866299541417156149e+00 7.010840129423581328e-11 8.854193892831686134e-15 -8.412524083359071233e-15
2.869139853510047189e+00 7.010805642950025270e-11 -2.252779366522590305e-15 8.405174910575363559e-15
2.871982980163192423e+00 7.010836243913469241e-11 8.853065483598816711e-15 -8.390923980190907843e-15
2.874828924165640398e+00 7.010802763441115568e-11 -2.225515963449102871e-15 8.383629783817959927e-15
2.877677688309197013e+00 7.010832347865558242e-11 8.852024729569393722e-15 -8.369378679314011064e-15
2.880529275388434396e+00 7.010799867663141322e-11 -2.198236453982214665e-15 8.362139612039948454e-15
2.883383688200693573e+00 7.010828441220129768e-11 8.851071689551812783e-15 -8.347888060992152336e-15
2.886240929546088019e+00 7.010796955577625709e-11 -2.170940626157370588e-15 8.340704096834795089e-15
2.889101002227505877e+00 7.010824523905654666e-11 8.850206438526675001e-15 -8.326451986598637548e-15
2.891963909050613069e+00 7.010794027144407818e-11 -2.143628141729576377e-15 8.319323314438647226e-15
2.894829652823855071e+00 7.010820595864332401e-11 8.849429190444035661e-15 -8.305070173305532932e-15
2.897698236358460466e+00 7.010791082319455792e-11 -2.116298713774846879e-15 8.297997158961184631e-15
2.900569662468443610e+00 7.010816657024607971e-11 8.848740037668469022e-15 -8.283742644123642882e-15
2.903443933970608626e+00 7.010788121061015104e-11 -2.088951995730153669e-15 8.276725241358012967e-15
2.906321053684548961e+00 7.010812707322878941e-11 8.848139074464056984e-15 -8.262469255795632950e-15
2.909201024432653160e+00 7.010785143330486145e-11 -2.061587830210700838e-15 8.255507639445041427e-15
2.912083849040105754e+00 7.010808746691998927e-11 8.847626386210602137e-15 -8.241249756741162352e-15
2.914969530334892145e+00 7.010782149083746586e-11 -2.034205797882040152e-15 8.234344197362810030e-15
2.917858071147799048e+00 7.010804775062928073e-11 8.847202199185113262e-15 -8.220084133287017036e-15
